127.0.0.1 - - [21/May/2026:22:54:34 +0530] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [21/May/2026:22:54:51 +0530] "GET /FashionStore/views/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2026:22:54:51 +0530] "GET /FashionStore/assets/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2026:22:54:51 +0530] "GET /FashionStore/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2026:22:54:51 +0530] "GET /FashionStore/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2026:22:54:51 +0530] "GET /FashionStore/assets/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2026:22:54:51 +0530] "GET /favicon.ico HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [21/May/2026:22:54:52 +0530] "GET /FashionStore/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2026:22:55:21 +0530] "POST /FashionStore/login HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [21/May/2026:22:55:22 +0530] "GET /FashionStore/views/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2026:22:55:23 +0530] "GET /FashionStore/assets/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2026:22:55:23 +0530] "GET /FashionStore/assets/js/home.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2026:22:55:24 +0530] "GET /FashionStore/cart HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [21/May/2026:22:55:24 +0530] "GET /FashionStore/home HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [21/May/2026:22:55:46 +0530] "GET /FashionStore/views/product-list.html?categoryId=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2026:22:55:46 +0530] "GET /FashionStore/assets/css/product-list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2026:22:55:46 +0530] "GET /FashionStore/assets/js/product-list.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2026:22:55:47 +0530] "GET /FashionStore/home HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [21/May/2026:22:55:47 +0530] "GET /FashionStore/products?categoryId=2 HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [21/May/2026:22:55:47 +0530] "GET /FashionStore/cart HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [21/May/2026:22:55:49 +0530] "GET /FashionStore/views/product-detail.html?productId=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2026:22:55:49 +0530] "GET /FashionStore/assets/css/product-detail.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2026:22:55:49 +0530] "GET /FashionStore/assets/js/product-detail.js?v=4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2026:22:55:49 +0530] "GET /FashionStore/cart HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [21/May/2026:22:55:50 +0530] "GET /FashionStore/product-detail?productId=2 HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [21/May/2026:22:56:00 +0530] "POST /FashionStore/cart HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [21/May/2026:22:56:35 +0530] "GET /FashionStore/views/cart.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2026:22:56:35 +0530] "GET /FashionStore/assets/css/cart.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2026:22:56:35 +0530] "GET /FashionStore/assets/js/cart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2026:22:56:35 +0530] "GET /FashionStore/cart HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [21/May/2026:22:56:36 +0530] "GET /FashionStore/cart HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [21/May/2026:22:56:36 +0530] "GET /FashionStore/cart HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [21/May/2026:22:56:38 +0530] "DELETE /FashionStore/cart?cartId=16 HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [21/May/2026:22:56:38 +0530] "GET /FashionStore/cart HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [21/May/2026:22:56:38 +0530] "GET /FashionStore/cart HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [21/May/2026:22:56:39 +0530] "DELETE /FashionStore/cart?cartId=17 HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [21/May/2026:22:56:39 +0530] "GET /FashionStore/cart HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [21/May/2026:22:56:40 +0530] "GET /FashionStore/cart HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [21/May/2026:22:56:49 +0530] "GET /FashionStore/logout HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [21/May/2026:22:56:50 +0530] "GET /FashionStore/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2026:22:56:50 +0530] "GET /FashionStore/home HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [21/May/2026:22:56:53 +0530] "GET /FashionStore/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2026:22:57:15 +0530] "POST /FashionStore/login HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [21/May/2026:22:57:16 +0530] "GET /FashionStore/home HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [21/May/2026:22:57:16 +0530] "GET /FashionStore/cart HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [21/May/2026:22:57:34 +0530] "GET /FashionStore/views/product-list.html?categoryId=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2026:22:57:34 +0530] "GET /FashionStore/products?categoryId=1 HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [21/May/2026:22:57:34 +0530] "GET /FashionStore/home HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [21/May/2026:22:57:34 +0530] "GET /FashionStore/cart HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [21/May/2026:22:57:37 +0530] "GET /FashionStore/views/product-detail.html?productId=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2026:22:57:38 +0530] "GET /FashionStore/cart HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [21/May/2026:22:57:38 +0530] "GET /FashionStore/product-detail?productId=1 HTTP/1.1" 200 450
